Network,Nodes count,PP,Measure,Seeds count,SF,IF,Iterations count
4_3.txt,4941,0.2,degree,247,5,13.36,5
4_3.txt,4941,0.2,degree,494,10,20.79,4
4_3.txt,4941,0.2,degree,1235,25,38.53,4
4_3.txt,4941,0.3,degree,247,5,20.26,6
4_3.txt,4941,0.3,degree,494,10,30.14,6
4_3.txt,4941,0.3,degree,1235,25,47.78,5
4_3.txt,4941,0.4,degree,247,5,29.0,8
4_3.txt,4941,0.4,degree,494,10,39.16,8
4_3.txt,4941,0.4,degree,1235,25,55.31,5
4_3.txt,4941,0.5,degree,247,5,40.19,11
4_3.txt,4941,0.5,degree,494,10,49.65,9
4_3.txt,4941,0.5,degree,1235,25,63.85,6
4_3.txt,4941,0.6,degree,247,5,56.02,14
4_3.txt,4941,0.6,degree,494,10,62.42,14
4_3.txt,4941,0.6,degree,1235,25,72.52,8
4_3.txt,4941,0.7,degree,247,5,70.73,17
4_3.txt,4941,0.7,degree,494,10,74.7,15
4_3.txt,4941,0.7,degree,1235,25,80.73,8
4_3.txt,4941,0.8,degree,247,5,82.25,21
4_3.txt,4941,0.8,degree,494,10,83.93,14
4_3.txt,4941,0.8,degree,1235,25,87.27,8
4_3.txt,4941,0.9,degree,247,5,92.69,17
4_3.txt,4941,0.9,degree,494,10,92.84,14
4_3.txt,4941,0.9,degree,1235,25,94.01,8
4_3.txt,4941,0.1,closeness,247,5,5.93,2
4_3.txt,4941,0.1,closeness,494,10,11.17,2
4_3.txt,4941,0.1,closeness,1235,25,26.7,3
4_3.txt,4941,0.2,closeness,247,5,7.53,4
4_3.txt,4941,0.2,closeness,494,10,13.48,5
4_3.txt,4941,0.2,closeness,1235,25,29.02,4
4_3.txt,4941,0.3,closeness,247,5,10.93,8
4_3.txt,4941,0.3,closeness,494,10,17.59,14
4_3.txt,4941,0.3,closeness,1235,25,33.94,9
4_3.txt,4941,0.4,closeness,247,5,17.04,16
4_3.txt,4941,0.4,closeness,494,10,23.66,12
4_3.txt,4941,0.4,closeness,1235,25,38.31,8
4_3.txt,4941,0.5,closeness,247,5,26.03,12
4_3.txt,4941,0.5,closeness,494,10,32.46,13
4_3.txt,4941,0.5,closeness,1235,25,48.92,29
4_3.txt,4941,0.6,closeness,247,5,48.07,24
4_3.txt,4941,0.6,closeness,494,10,50.35,23
4_3.txt,4941,0.6,closeness,1235,25,59.48,27
4_3.txt,4941,0.7,closeness,247,5,67.29,34
4_3.txt,4941,0.7,closeness,494,10,68.65,23
4_3.txt,4941,0.7,closeness,1235,25,73.37,19
4_3.txt,4941,0.8,closeness,247,5,79.82,24
4_3.txt,4941,0.8,closeness,494,10,80.55,23
