X,Y,Decoded address
47.87624,21.7284,"49146, Újsortanya, Nyíregyháza, Nyíregyházi járás, Szabolcs-Szatmár-Bereg vármegye, Północna Wielka Nizina, Alföld és Észak, 4246, Węgry"
53.06495,21.74243,"Puchały, gmina Troszyn, powiat ostrołęcki, województwo mazowieckie, 07-405, Polska"
52.26111,22.10738,"5, Kwiatowa, Mokobody Pierwsze, Mokobody, gmina Mokobody, powiat siedlecki, województwo mazowieckie, 08-124, Polska"
46.82547,20.57548,"Południowa Wielka Nizina, Alföld és Észak, 5540, Węgry"
52.81711,19.12469,"33, Ignackowo, gmina Lipno, powiat lipnowski, województwo kujawsko-pomorskie, 87-600, Polska"
50.71311,24.14849,"ulica Wołyńska, Nowowołyńsk, Нововолинська міська громада, Rejon włodzimierski, Obwód wołyński, 45407, Ukraina"
52.48155,19.35963,"7, Trzebowo, gmina Baruchowo, powiat włocławski, województwo kujawsko-pomorskie, 87-820, Polska"
46.22556,15.79404,"Trlično, Rogatec, 2287, Słowenia"
52.71458,15.20812,"Pole Golfowe Zawarcie, Śląska, Zawarcie, Gorzów Wielkopolski, województwo lubuskie, 66-413, Polska"
46.18618,19.9074,"Mórahalom, Mórahalmi járás, Csongrád-Csanád vármegye, Południowa Wielka Nizina, Alföld és Észak, 6782, Węgry"
49.81822,25.11705,"Зборівська міська громада, Rejon tarnopolski, Obwód tarnopolski, Ukraina"
51.45718,15.33342,"18, Czerna, gmina Żagań, powiat żagański, województwo lubuskie, Polska"
51.22129,22.94535,"31A, Klarów, gmina Milejów, powiat łęczyński, województwo lubelskie, 21-020, Polska"
46.77524,17.33092,"Dunántúl, 8313, Węgry"
48.25284,22.58431,"Велика Бийгань, Великобийганська сільська громада, Rejon berehowski, Obwód zakarpacki, 90232, Ukraina"
48.63462,15.94498,"Braunsdorf, Gemeinde Sitzendorf an der Schmida, Bezirk Hollabrunn, Dolna Austria, 3714, Austria"
48.20086,22.8198,"Вилоцька селищна громада, Rejon berehowski, Obwód zakarpacki, Ukraina"
51.91469,21.47835,"Kolonia Kościeliska, Nowe Kościeliska, gmina Osieck, powiat otwocki, województwo mazowieckie, Polska"
49.97074,13.25858,"13, Vladměřice, Manětín, okres Plzeň-sever, Kraj pilzneński, Południowo-zachodni, 331 62, Czechy"
50.75992,12.79272,"Kohlepfad, Wiesenweg, Leukersdorf, Jahnsdorf/Erzgebirge, Erzgebirgskreis, Saksonia, 09387, Niemcy"
50.50392,17.70288,"58B, Dojazd pożarowy 4, Chrzelice, gmina Biała, powiat prudnicki, województwo opolskie, 48-324, Polska"
53.59954,22.28373,"14, Wólka, gmina Szczuczyn, powiat grajewski, województwo podlaskie, 19-230, Polska"
49.84908,21.16413,"163, Żurowa, gmina Szerzyny, powiat tarnowski, województwo małopolskie, 38-247, Polska"
51.7966,16.71175,"Tworzanki, gmina Rydzyna, powiat leszczyński, województwo wielkopolskie, 64-130, Polska"
48.32064,17.93302,"R1, Veľké Zálužie, okres Nitra, Kraj nitrzański, Zachodnia Słowacja, 951 35, Słowacja"
48.67754,24.95765,"Czeremchów, Коршівська сільська громада, Rejon kołomyjski, Obwód iwanofrankiwski, 78236, Ukraina"
50.64512,11.66871,"L 2365, Posen, Laskau, Peuschen, Ranis-Ziegenrück, Saale-Orla-Kreis, Turyngia, 07806, Niemcy"
49.21981,25.50583,"Теребовлянська міська громада, Rejon tarnopolski, Obwód tarnopolski, Ukraina"
51.24277,20.76188,"10, Partyzantów, Chlewiska, gmina Chlewiska, powiat szydłowiecki, województwo mazowieckie, 26-510, Polska"
46.46594,23.9764,"DN15, Hădăreni, Chețani, Mureș, 547156, Rumunia"
51.01702,13.38725,"Dittmannsdorfer Straße, Neukirchen, Reinsberg, Mittelsachsen, Saksonia, 09629, Niemcy"
47.06721,16.73084,"Csodaszarvas Tájpark, 8, Rábahídvég, Vasvári járás, Vas vármegye, Dunántúl, 9777, Węgry"
47.1824,16.94295,"Kossuth Lajos utca, Nyőgér, Sárvári járás, Vas vármegye, Dunántúl, 9682, Węgry"
53.07031,17.09544,"Józefowice, gmina Szamocin, powiat chodzieski, województwo wielkopolskie, 64-814, Polska"
51.01772,24.39335,"вулиця Васильчука, Mokrzec, Турійська селищна громада, Rejon kowelski, Obwód wołyński, 44840, Ukraina"
51.30555,21.15655,"40A, Bardzice, gmina Kowala, powiat radomski, województwo mazowieckie, 26-624, Polska"
49.75758,23.53996,"Dobrzany, Городоцька міська громада, Rejon lwowski, Obwód lwowski, 81530, Ukraina"
52.45348,22.0549,"112, Żeleźniki, gmina Miedzna, powiat węgrowski, województwo mazowieckie, 07-106, Polska"
47.83256,13.24251,"Hausstattweg, Mayerhof, Egg, Thalgau, Bezirk Salzburg-Umgebung, Salzburg, 5303, Austria"
47.25488,13.08529,"104, Unterberg, Klammstein, Dorfgastein, Bezirk St. Johann im Pongau, Salzburg, 5632, Austria"
51.90815,18.75496,"14, Leśnik, gmina Poddębice, powiat poddębicki, województwo łódzkie, 99-200, Polska"
49.00575,17.7638,"Záhorovice, okres Uherské Hradiště, Kraj zliński, Morawy Środkowe, 687 35, Czechy"
53.4504,15.42371,"grodzisko, 20, Sarnowo, gmina Chociwel, powiat stargardzki, województwo zachodniopomorskie, 73-120, Polska"
49.8551,10.48886,"Walter Hartmann-Weg, Ebracher Forst, Landkreis Bamberg, Bawaria, 96157, Niemcy"
48.22354,25.84658,"Кам’яна, Кам'янська сільська громада, Чернівецький район, Obwód czerniowiecki, 59050, Ukraina"
51.8131,17.82401,"Borucin, gmina Pleszew, powiat pleszewski, województwo wielkopolskie, Polska"
50.8577,26.0004,"С-030526, Skresztówka (Skregitówka), Цуманська селищна громада, Rejon łucki, Obwód wołyński, 45235, Ukraina"
53.15729,15.01006,"Kolonia Brzesko, Brzesko, gmina Pyrzyce, powiat pyrzycki, województwo zachodniopomorskie, 74-211, Polska"
47.52357,23.7859,"Brebeni, Cernești, Maramureș, 437086, Rumunia"
52.15028,20.41243,"Skrzelew, gmina Teresin, powiat sochaczewski, województwo mazowieckie, 96-516, Polska"
47.61445,16.72582,"8525, Hidegség, Soproni járás, Győr-Moson-Sopron vármegye, Dunántúl, 9491, Węgry"
50.93013,13.10205,"Berthelsdorfer Straße, Hainichen, Mittelsachsen, Saksonia, 09661, Niemcy"
51.20223,22.73725,"5A, Jarzębinowa, Krępiec Drugi, Krępiec, gmina Mełgiew, powiat świdnicki, województwo lubelskie, 21-007, Polska"
52.40695,22.16947,"81, Brzozów-Kolonia, Walerów, gmina Sokołów Podlaski, powiat sokołowski, województwo mazowieckie, 08-300, Polska"
47.09177,22.61817,"Făgetu, Plopiș, Sălaj, 457271, Rumunia"
